match_id,season,city,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs
336031,2007/08,Chandigarh,League,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,wickets,6.0,176.0,20.0
336032,2007/08,Delhi,League,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,wickets,5.0,177.0,20.0
336033,2007/08,Chennai,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,10.0,212.0,20.0
336002,2007/08,Hyderabad,League,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,wickets,5.0,166.0,20.0
336035,2007/08,Kolkata,League,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,wickets,3.0,175.0,20.0
336036,2007/08,Jaipur,League,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,146.0,20.0
336037,2007/08,Hyderabad,League,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,7.0,148.0,20.0
336019,2007/08,Chandigarh,League,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,runs,41.0,222.0,20.0
336038,2007/08,Mumbai,Semi Final,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,runs,105.0,193.0,20.0
336039,2007/08,Mumbai,Semi Final,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Chennai Super Kings,wickets,9.0,113.0,20.0
336040,2007/08,Mumbai,Final,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,164.0,20.0
392181,2009,Cape Town,League,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,19.0,166.0,20.0
392182,2009,Cape Town,League,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,75.0,134.0,20.0
392184,2009,Cape Town,League,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,wickets,8.0,102.0,20.0
392185,2009,Port Elizabeth,League,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,92.0,180.0,20.0
392188,2009,Cape Town,League,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,24.0,185.0,20.0
392189,2009,Durban,League,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,runs,9.0,190.0,20.0
392190,2009,Cape Town,League,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,tie,,151.0,20.0
392191,2009,Durban,League,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,wickets,7.0,169.0,20.0
392192,2009,Durban,League,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,12.0,169.0,20.0
392194,2009,Port Elizabeth,League,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,wickets,6.0,150.0,20.0
392195,2009,Cape Town,League,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,runs,27.0,140.0,20.0
392196,2009,Durban,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,166.0,20.0
392197,2009,Port Elizabeth,League,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,92.0,188.0,20.0
392198,2009,Centurion,League,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,wickets,5.0,144.0,20.0
392199,2009,Durban,League,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,5.0,140.0,20.0
392200,2009,Durban,League,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,runs,3.0,120.0,20.0
392201,2009,Centurion,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,149.0,20.0
392202,2009,Centurion,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,38.0,165.0,20.0
392203,2009,East London,League,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,149.0,20.0
392204,2009,Durban,League,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,8.0,146.0,20.0
392205,2009,Port Elizabeth,League,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,3.0,142.0,20.0
392206,2009,Johannesburg,League,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,18.0,164.0,20.0
392207,2009,Port Elizabeth,League,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Kings,wickets,6.0,154.0,20.0
392208,2009,Johannesburg,League,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,9.0,150.0,20.0
392209,2009,East London,League,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,78.0,179.0,20.0
392210,2009,Durban,League,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,runs,78.0,212.0,20.0
392211,2009,Durban,League,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,wickets,9.0,155.0,20.0
392212,2009,Centurion,League,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,19.0,146.0,20.0
392213,2009,Centurion,League,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,106.0,20.0
392215,2009,East London,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,wickets,7.0,117.0,20.0
392216,2009,Kimberley,League,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,3.0,169.0,20.0
392217,2009,Kimberley,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,141.0,20.0
392218,2009,Port Elizabeth,League,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,16.0,158.0,20.0
